usage_month,billing_account_id,project.id,project.number,service.description,service.id,location.location,location.region,carbon_model_version,carbon_footprint_total_kgCO2e.location_based,carbon_footprint_total_kgCO2e.market_based,carbon_footprint_kgCO2e.scope1,carbon_footprint_kgCO2e.scope2.location_based,carbon_footprint_kgCO2e.scope2.market_based,carbon_footprint_kgCO2e.scope3
2025-02-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ContainerOrchestration,CCD8-9BF1-2044,us-central1,us-central1,v2025.1,1102.764,851.538,14.427,433.15,181.923,655.188
2025-02-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,LoadBalancing,5490-F7B7-8DF6,global,global,v2025.1,456.94,317.118,2.13,233.037,93.215,221.773
2025-02-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ContentDelivery,95FF-2EF5-5EA1,global,global,v2025.1,576.658,424.269,2.371,253.982,101.593,320.306
2025-02-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,EventMessaging,A1E8-BE35-7EBC,global,global,v2025.1,394.247,280.095,1.744,190.253,76.101,202.251
2025-02-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,DataWarehouse,24E6-581D-38E5,US,us,v2025.1,1468.988,1118.327,5.588,584.436,233.774,878.964
2025-02-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,DataWarehouse,24E6-581D-38E5,EU,eu,v2025.1,605.853,442.14,3.248,233.876,70.163,368.729
2025-02-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,ObjectStorage,95FF-2EF5-5EA1,US,us,v2025.1,600.561,476.089,1.976,207.454,82.982,391.131
2025-02-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,ObjectStorage,95FF-2EF5-5EA1,EU,eu,v2025.1,240.814,180.644,0.731,85.958,25.787,154.125
2025-02-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,StreamBatchProcessing,956B-484D-6C42,us-central1,us-central1,v2025.1,596.023,460.335,3.047,233.945,98.257,359.032
2025-02-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,StreamBatchProcessing,956B-484D-6C42,europe-west1,europe-west1,v2025.1,254.331,185.235,1.123,104.69,35.595,148.517
2025-02-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,Logging,5490-F7B7-8DF6,global,global,v2025.1,301.802,234.119,0.893,112.805,45.122,188.104
2025-02-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,MachineLearning,B092-4C12-5AD8,us-central1,us-central1,v2025.1,828.99,627.045,10.046,348.181,146.236,470.763
2025-02-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,MachineLearning,B092-4C12-5AD8,europe-west4,europe-west4,v2025.1,213.67,147.333,2.584,89.645,23.308,121.441
2025-02-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,ComputeVM,6F81-5844-456A,us-central1,us-central1,v2025.1,461.804,348.368,5.298,195.579,82.143,260.927
2025-02-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,ObjectStorage,95FF-2EF5-5EA1,US,us,v2025.1,250.992,195.403,1.327,92.648,37.059,157.017
2025-02-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ManagedRelationalDatabase,9662-B51E-5089,europe-west1,europe-west1,v2025.1,312.655,228.949,4.063,126.826,43.121,181.766
2025-02-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ManagedRelationalDatabase,9662-B51E-5089,us-central1,us-central1,v2025.1,291.861,219.9,3.115,124.07,52.109,164.675
2025-02-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,InMemoryCache,ABCD-1234-9876,europe-west1,europe-west1,v2025.1,185.261,134.479,2.472,76.942,26.16,105.847
2025-02-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ArtifactRegistry,2D43-CB89-6AAB,europe-west1,europe-west1,v2025.1,88.27,67.968,0.349,30.76,10.458,57.161
2025-02-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,Monitoring,5490-F7B7-8DF6,global,global,v2025.1,133.39,102.325,0.638,51.774,20.71,80.978
2025-03-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,us-central1,us-central1,v2025.1,2612.426,1998.949,29.225,1057.719,444.242,1525.482
2025-03-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,europe-west1,europe-west1,v2025.1,1218.396,900.955,15.935,480.972,163.531,721.489
2025-03-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,asia-southeast1,asia-southeast1,v2025.1,1230.388,981.361,13.798,518.806,269.779,697.785
2025-03-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ContainerOrchestration,CCD8-9BF1-2044,us-central1,us-central1,v2025.1,1192.685,913.362,13.29,481.592,202.269,697.803
2025-03-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,LoadBalancing,5490-F7B7-8DF6,global,global,v2025.1,502.874,350.285,2.669,254.316,101.726,245.89
2025-03-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ContentDelivery,95FF-2EF5-5EA1,global,global,v2025.1,645.0,473.191,2.527,286.348,114.539,356.125
2025-03-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,EventMessaging,A1E8-BE35-7EBC,global,global,v2025.1,434.076,312.568,2.137,202.513,81.005,229.426
2025-03-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,DataWarehouse,24E6-581D-38E5,US,us,v2025.1,1532.096,1167.614,4.276,607.472,242.989,920.349
2025-03-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,DataWarehouse,24E6-581D-38E5,EU,eu,v2025.1,664.929,484.196,2.507,258.191,77.457,404.231
2025-03-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,ObjectStorage,95FF-2EF5-5EA1,US,us,v2025.1,674.462,530.275,3.161,240.312,96.125,430.989
2025-03-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,ObjectStorage,95FF-2EF5-5EA1,EU,eu,v2025.1,259.864,196.316,1.417,90.783,27.235,167.665
2025-03-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,StreamBatchProcessing,956B-484D-6C42,us-central1,us-central1,v2025.1,631.386,478.188,2.341,264.134,110.936,364.911
2025-03-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,StreamBatchProcessing,956B-484D-6C42,europe-west1,europe-west1,v2025.1,287.287,209.598,1.461,117.712,40.022,168.115
2025-03-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,Logging,5490-F7B7-8DF6,global,global,v2025.1,324.177,249.396,0.995,124.636,49.855,198.546
2025-03-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,MachineLearning,B092-4C12-5AD8,us-central1,us-central1,v2025.1,855.406,642.179,10.064,367.633,154.406,477.709
2025-03-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,MachineLearning,B092-4C12-5AD8,europe-west4,europe-west4,v2025.1,228.704,155.017,2.573,99.576,25.89,126.555
2025-03-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,ComputeVM,6F81-5844-456A,us-central1,us-central1,v2025.1,485.284,373.973,5.741,191.917,80.605,287.627
2025-03-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,ObjectStorage,95FF-2EF5-5EA1,US,us,v2025.1,251.092,199.115,1.042,86.629,34.652,163.421
2025-03-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ManagedRelationalDatabase,9662-B51E-5089,europe-west1,europe-west1,v2025.1,325.437,233.081,4.393,139.933,47.577,181.111
2025-03-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ManagedRelationalDatabase,9662-B51E-5089,us-central1,us-central1,v2025.1,318.087,243.089,4.265,129.306,54.309,184.516
2025-03-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,InMemoryCache,ABCD-1234-9876,europe-west1,europe-west1,v2025.1,197.383,143.429,2.575,81.749,27.795,113.059
2025-03-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ArtifactRegistry,2D43-CB89-6AAB,europe-west1,europe-west1,v2025.1,93.57,72.199,0.37,32.38,11.009,60.819
2025-03-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,Monitoring,5490-F7B7-8DF6,global,global,v2025.1,134.989,103.816,0.5,51.955,20.782,82.534
2025-04-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,us-central1,us-central1,v2025.1,2644.434,1997.889,29.241,1114.732,468.188,1500.461
2025-04-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,europe-west1,europe-west1,v2025.1,1317.494,965.656,16.502,533.089,181.25,767.903
2025-04-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,asia-southeast1,asia-southeast1,v2025.1,1350.59,1080.202,14.667,563.31,292.921,772.614
2025-04-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ContainerOrchestration,CCD8-9BF1-2044,us-central1,us-central1,v2025.1,1235.412,950.908,13.884,490.524,206.02,731.004
2025-04-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,LoadBalancing,5490-F7B7-8DF6,global,global,v2025.1,549.261,386.853,2.394,270.679,108.272,276.188
2025-04-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ContentDelivery,95FF-2EF5-5EA1,global,global,v2025.1,657.639,480.798,2.796,294.736,117.894,360.108
2025-04-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,EventMessaging,A1E8-BE35-7EBC,global,global,v2025.1,453.759,324.706,2.407,215.087,86.035,236.265
2025-04-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,DataWarehouse,24E6-581D-38E5,US,us,v2025.1,1679.952,1282.586,7.809,662.277,264.911,1009.866
2025-04-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,DataWarehouse,24E6-581D-38E5,EU,eu,v2025.1,711.284,515.036,2.623,280.354,84.106,428.307
2025-04-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,ObjectStorage,95FF-2EF5-5EA1,US,us,v2025.1,687.961,542.891,2.339,241.783,96.713,443.838
2025-04-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,ObjectStorage,95FF-2EF5-5EA1,EU,eu,v2025.1,277.088,207.115,1.318,99.962,29.989,175.808
2025-04-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,StreamBatchProcessing,956B-484D-6C42,us-central1,us-central1,v2025.1,639.573,484.163,2.478,267.948,112.538,369.146
2025-04-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,StreamBatchProcessing,956B-484D-6C42,europe-west1,europe-west1,v2025.1,279.416,207.576,1.534,108.849,37.009,169.034
2025-04-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,Logging,5490-F7B7-8DF6,global,global,v2025.1,337.222,258.381,1.059,131.403,52.561,204.761
2025-04-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,MachineLearning,B092-4C12-5AD8,us-central1,us-central1,v2025.1,877.037,656.399,11.664,380.41,159.772,484.963
2025-04-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,MachineLearning,B092-4C12-5AD8,europe-west4,europe-west4,v2025.1,232.14,160.775,3.05,96.439,25.074,132.651
2025-04-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,ComputeVM,6F81-5844-456A,us-central1,us-central1,v2025.1,513.258,390.33,5.632,211.945,89.017,295.681
2025-04-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,ObjectStorage,95FF-2EF5-5EA1,US,us,v2025.1,250.936,198.936,1.157,86.668,34.667,163.112
2025-04-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ManagedRelationalDatabase,9662-B51E-5089,europe-west1,europe-west1,v2025.1,334.977,243.627,4.509,138.408,47.059,192.059
2025-04-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ManagedRelationalDatabase,9662-B51E-5089,us-central1,us-central1,v2025.1,320.2,243.154,3.37,132.837,55.792,183.993
2025-04-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,InMemoryCache,ABCD-1234-9876,europe-west1,europe-west1,v2025.1,209.118,151.277,2.384,87.639,29.797,119.096
2025-04-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ArtifactRegistry,2D43-CB89-6AAB,europe-west1,europe-west1,v2025.1,94.72,74.104,0.504,31.237,10.621,62.98
2025-04-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,Monitoring,5490-F7B7-8DF6,global,global,v2025.1,146.527,112.405,0.417,56.871,22.748,89.239
2025-05-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,us-central1,us-central1,v2025.1,2858.149,2202.858,37.761,1129.812,474.521,1690.576
2025-05-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,europe-west1,europe-west1,v2025.1,1431.7,1048.413,18.618,580.738,197.451,832.344
2025-05-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,asia-southeast1,asia-southeast1,v2025.1,1374.768,1106.47,15.046,558.954,290.656,800.769
2025-05-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ContainerOrchestration,CCD8-9BF1-2044,us-central1,us-central1,v2025.1,1347.894,1019.741,15.399,565.781,237.628,766.714
2025-05-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,LoadBalancing,5490-F7B7-8DF6,global,global,v2025.1,580.059,411.908,2.836,280.251,112.1,296.972
2025-05-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ContentDelivery,95FF-2EF5-5EA1,global,global,v2025.1,682.512,504.793,3.547,296.198,118.479,382.767
2025-05-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,EventMessaging,A1E8-BE35-7EBC,global,global,v2025.1,484.494,343.376,1.574,235.197,94.079,247.723
2025-05-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,DataWarehouse,24E6-581D-38E5,US,us,v2025.1,1677.61,1277.927,8.12,666.138,266.455,1003.351
2025-05-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,DataWarehouse,24E6-581D-38E5,EU,eu,v2025.1,717.08,528.969,2.667,268.731,80.619,445.683
2025-05-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,ObjectStorage,95FF-2EF5-5EA1,US,us,v2025.1,733.191,577.718,2.173,259.122,103.649,471.896
2025-05-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,ObjectStorage,95FF-2EF5-5EA1,EU,eu,v2025.1,289.951,220.535,1.477,99.166,29.75,189.308
2025-05-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,StreamBatchProcessing,956B-484D-6C42,us-central1,us-central1,v2025.1,658.825,509.5,3.25,257.457,108.132,398.119
2025-05-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,StreamBatchProcessing,956B-484D-6C42,europe-west1,europe-west1,v2025.1,291.187,215.085,0.75,115.305,39.204,175.132
2025-05-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,Logging,5490-F7B7-8DF6,global,global,v2025.1,331.559,258.071,1.159,122.48,48.992,207.92
2025-05-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,MachineLearning,B092-4C12-5AD8,us-central1,us-central1,v2025.1,868.073,659.546,11.204,359.529,151.002,497.34
2025-05-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,MachineLearning,B092-4C12-5AD8,europe-west4,europe-west4,v2025.1,243.249,168.341,3.146,101.227,26.319,138.876
2025-05-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,ComputeVM,6F81-5844-456A,us-central1,us-central1,v2025.1,525.863,399.552,6.764,217.777,91.467,301.321
2025-05-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,ObjectStorage,95FF-2EF5-5EA1,US,us,v2025.1,263.373,205.435,1.348,96.563,38.625,165.462
2025-05-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ManagedRelationalDatabase,9662-B51E-5089,europe-west1,europe-west1,v2025.1,351.107,256.544,3.921,143.278,48.715,203.908
2025-05-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ManagedRelationalDatabase,9662-B51E-5089,us-central1,us-central1,v2025.1,334.164,254.967,3.97,136.547,57.35,193.647
2025-05-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,InMemoryCache,ABCD-1234-9876,europe-west1,europe-west1,v2025.1,211.957,151.389,2.731,91.768,31.201,117.457
2025-05-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ArtifactRegistry,2D43-CB89-6AAB,europe-west1,europe-west1,v2025.1,98.232,75.826,0.253,33.949,11.543,64.03
2025-05-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,Monitoring,5490-F7B7-8DF6,global,global,v2025.1,145.004,111.445,0.505,55.931,22.372,88.567
2025-06-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,us-central1,us-central1,v2025.1,3147.742,2377.898,41.792,1327.316,557.473,1778.634
2025-06-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,europe-west1,europe-west1,v2025.1,1532.04,1121.325,19.393,622.297,211.581,890.351
2025-06-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,asia-southeast1,asia-southeast1,v2025.1,1424.572,1150.897,17.824,570.156,296.481,836.592
2025-06-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ContainerOrchestration,CCD8-9BF1-2044,us-central1,us-central1,v2025.1,1393.818,1059.649,14.928,576.153,241.984,802.737
2025-06-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,LoadBalancing,5490-F7B7-8DF6,global,global,v2025.1,582.851,410.939,2.034,286.519,114.608,294.297
2025-06-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ContentDelivery,95FF-2EF5-5EA1,global,global,v2025.1,737.377,538.047,3.719,332.217,132.887,401.441
2025-06-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,EventMessaging,A1E8-BE35-7EBC,global,global,v2025.1,490.843,352.423,1.669,230.699,92.28,258.474
2025-06-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,DataWarehouse,24E6-581D-38E5,US,us,v2025.1,1788.198,1367.618,6.661,700.967,280.387,1080.57
2025-06-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,DataWarehouse,24E6-581D-38E5,EU,eu,v2025.1,708.52,515.322,2.4,275.998,82.799,430.123
2025-06-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,ObjectStorage,95FF-2EF5-5EA1,US,us,v2025.1,745.833,581.412,2.805,274.034,109.614,468.993
2025-06-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,ObjectStorage,95FF-2EF5-5EA1,EU,eu,v2025.1,279.934,212.868,1.269,95.81,28.743,182.856
2025-06-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,StreamBatchProcessing,956B-484D-6C42,us-central1,us-central1,v2025.1,707.967,546.359,3.077,278.634,117.026,426.256
2025-06-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,StreamBatchProcessing,956B-484D-6C42,europe-west1,europe-west1,v2025.1,291.263,212.096,1.207,119.95,40.783,170.106
2025-06-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,Logging,5490-F7B7-8DF6,global,global,v2025.1,331.724,253.776,1.115,129.912,51.965,200.697
2025-06-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,MachineLearning,B092-4C12-5AD8,us-central1,us-central1,v2025.1,908.157,681.734,11.116,390.383,163.961,506.657
2025-06-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,MachineLearning,B092-4C12-5AD8,europe-west4,europe-west4,v2025.1,246.669,169.372,2.934,104.455,27.158,139.279
2025-06-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,ComputeVM,6F81-5844-456A,us-central1,us-central1,v2025.1,524.483,399.58,5.843,215.35,90.447,303.29
2025-06-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,ObjectStorage,95FF-2EF5-5EA1,US,us,v2025.1,276.316,217.361,1.438,98.258,39.303,176.62
2025-06-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ManagedRelationalDatabase,9662-B51E-5089,europe-west1,europe-west1,v2025.1,355.331,259.152,3.912,145.725,49.546,205.694
2025-06-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ManagedRelationalDatabase,9662-B51E-5089,us-central1,us-central1,v2025.1,341.142,255.98,4.11,146.831,61.669,190.201
2025-06-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,InMemoryCache,ABCD-1234-9876,europe-west1,europe-west1,v2025.1,222.237,159.972,2.557,94.341,32.076,125.339
2025-06-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ArtifactRegistry,2D43-CB89-6AAB,europe-west1,europe-west1,v2025.1,104.217,81.815,0.495,33.943,11.541,69.779
2025-06-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,Monitoring,5490-F7B7-8DF6,global,global,v2025.1,158.768,123.365,0.504,59.005,23.602,99.259
2025-07-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,us-central1,us-central1,v2025.1,3233.633,2487.78,38.381,1285.953,540.1,1909.299
